DepMap_ID,cell_line_name,CELL_LINE_NAME,alias,COSMIC_ID,sample_collection_site,Sanger_Model_ID
ACH-001007,A673STAG2KO16,A673STAG2KO16,A673-STAG2-KO-16,,soft_tissue,
ACH-001008,A673STAG2KO45,A673STAG2KO45,A673-STAG2-KO-45,,soft_tissue,
ACH-001009,A673STAG2NT14,A673STAG2NT14,A673-STAG2-NT-14,,soft_tissue,
ACH-001010,A673STAG2NT23,A673STAG2NT23,A673-STAG2-NT-23,,soft_tissue,
ACH-001015,,AZ521,,,small_intestine,
ACH-001017,,BGC823,,,cervix,
ACH-001018,BJ hTERT,BJHTERT,,,fibroblast,
ACH-001037,CMK-86,CMK86,,,haematopoietic_and_lymphoid_tissue,
ACH-001042,COLO-704,COLO704,,,ascites,
ACH-001043,,COLO775,,,haematopoietic_and_lymphoid_tissue,
ACH-001045,,COLO849,,,lymph_node,
ACH-001047,,CORL51,,,pleural_effusion,
ACH-001052,D384,D384,,,central_nervous_system,
ACH-001055,D556,D556,,,central_nervous_system,
ACH-001066,,EWS834,,,bone,
ACH-001071,,GLC82,GLC-82,,cervix,
ACH-001078,HCC-1588,HCC1588,,,lung,
ACH-001079,,HCC1897,,,lung,
ACH-001087,HK-2,HK2,,,kidney,
ACH-001088,,HLC1,HLC-1,,pleural_effusion,
ACH-001093,,HS604T,,,lymph_node,
ACH-001097,,KARPAS384,,,haematopoietic_and_lymphoid_tissue,
ACH-001098,KCI-MOH1,KCIMOH1,,,pancreas,
ACH-001099,KD,KD,,,soft_tissue,
ACH-001100,,KHYG,"KHYG1, KHYG-1",,haematopoietic_and_lymphoid_tissue,
ACH-001109,KP-MRT-RY,KPMRTRY,,,soft_tissue,
ACH-001122,,MKL1,MKL-1,,lymph_node,
ACH-001123,,MKL2,MKL-2,,skin,
ACH-001130,MOTN-1,MOTN1,,,haematopoietic_and_lymphoid_tissue,
ACH-001132,,MTA,,,haematopoietic_and_lymphoid_tissue,
ACH-001134,MYLA,MYLA,,,haematopoietic_and_lymphoid_tissue,
ACH-001142,NHAHTDD,NHAHTDD,,,central_nervous_system,
ACH-001143,,NKL,,,haematopoietic_and_lymphoid_tissue,
ACH-001144,,OC315,,,ovary,
ACH-001146,,OCILY10,OCI-LY10,,lymph_node,
ACH-001147,,OCILY12,,,lymph_node,
ACH-001148,OCILY-13,OCILY132,,,bone_marrow,
ACH-001150,OUMS-27,OUMS27,,,bone,
ACH-001162,PCM6,PCM6,,,haematopoietic_and_lymphoid_tissue,
ACH-001163,Peds005T Susp,CCLFPEDS0001T,,,kidney,
ACH-001164,CCLF_PEDS_0003_T,CCLFPEDS0003T,,,soft_tissue,
ACH-001170,,PETA,,,skin,
ACH-001172,U-251 MG,U251MGDM,,,central_nervous_system,
ACH-001175,RCC-4,RCC4,,,kidney,
ACH-001187,,SF8657,,,skin,
ACH-001194,SK-RC 31,SKRC31,,,lung,
ACH-001197,,SMZ1,SMZ-1,,ascites,
ACH-001200,STM91-01,STM9101,,,lung,
ACH-001201,SU-MB-002,SUMB002,SUMB002,,central_nervous_system,
ACH-001206,,TTC466,,,bone,
ACH-001207,TIG-3 TD,TIG3TD,,,fibroblast,
ACH-001224,,UMRC2,,,kidney,
ACH-001225,,UMRC6NEO,,,kidney,
ACH-001229,UPCI-SCC-154,UPCISCC154,"UPCISCC154, UPCI:SCC154",,upper_aerodigestive_tract,
ACH-001230,,UT7,,,bone_marrow,
ACH-001234,VMRC-LCP,VMRCLCP,,,lung,
ACH-001272,Fuji,FUJI,,,soft_tissue,
ACH-001279,SCCOHT-1,SCCOHT1,,,ovary,
ACH-001282,CHLA258,CHLA258,,,bone,
ACH-001310,HA1E,HA1E,,,kidney,
ACH-001347,H157,H157,,,upper_aerodigestive_tract,
ACH-001356,MB-1,MB1,,,thyroid,
ACH-001357,MCF 10A,MCF10A,,,breast,
ACH-001366,NGP,NGP,,,lung,
ACH-001370,OCI-P5x,OCIP5X,,,ovary,
ACH-001388,SUM-102PT,SUM102PT,,,breast,
ACH-001389,SUM-1315MO2,SUM1315MO2,,,skin,
ACH-001393,SUM-190PT,SUM190PT,,,breast,
ACH-001395,SUM-44PE,SUM44PE,,,pleural_effusion,
ACH-001397,SUM225CWN,SUM225CWN,,,breast,
ACH-001410,UM-UC-4,UMUC4,,,lymph_node,
ACH-001411,UM-UC-5,UMUC5,,,urinary_tract,
ACH-001419,VP229,VP229,VP229,,breast,
ACH-001422,WPE1-NA22,WPE1NA22,,,prostate,
ACH-001433,CCLF_PEDS_0008_T,CCLFPEDS0008T,,,soft_tissue,
ACH-001441,92-1,921,,,uvea,
ACH-001495,EMTOKA,EMTOKA,,,endometrium,
ACH-001509,H357,H357,,,upper_aerodigestive_tract,
ACH-001510,H376,H376,,,upper_aerodigestive_tract,
ACH-001511,H413,H413,,,upper_aerodigestive_tract,
ACH-001513,HCA-1,HCA1,,,cervix,
ACH-001514,HCC1008,HCC1008,,,lymph_node,
ACH-001515,HCS-2,HCS2,,,cervix,
ACH-001516,HCSC-1,HCSC1,,,ascites,
ACH-001518,HEC-116,HEC116,,,endometrium,
ACH-001520,HG-3,HG3,,,haematopoietic_and_lymphoid_tissue,
ACH-001524,HSC-5,HSC5,,,skin,
ACH-001533,KARPAS 1718,KARPAS1718,,,haematopoietic_and_lymphoid_tissue,
ACH-001538,KKU-213,KKU213,KKU-M213,,biliary_tract,
ACH-001539,KML-1,KML1,,,pleural_effusion,
ACH-001540,KMLS-1,KMLS1,,,soft_tissue,
ACH-001541,KMS-28PE,KMS28PE,,,pleural_effusion,
ACH-001547,LO68,LO68,,,pleural_effusion,
ACH-001548,LS,LS,,,autonomic_ganglia,
ACH-001555,Mero-14,MERO14,,,pleural_effusion,
ACH-001556,Mero-25,MERO25,,,pleural_effusion,
ACH-001557,Mero-41,MERO41,,,pleural_effusion,
ACH-001558,Mero-48a,MERO48A,,,pleural_effusion,
ACH-001559,Mero-82,MERO82,,,pleural_effusion,
ACH-001560,Mero-83,MERO83,,,pleural_effusion,
ACH-001561,Mero-84,MERO84,,,pleural_effusion,
ACH-001562,Mero-95,MERO95,,,pleural_effusion,
ACH-001569,MM415,MM415,,,lymph_node,
ACH-001573,MOLM-1,MOLM1,,,bone_marrow,
ACH-001577,MUTZ-8,MUTZ8,,,haematopoietic_and_lymphoid_tissue,
ACH-001607,NOZ,NOZ,,,ascites,
ACH-001608,NP 2,NP2,,,central_nervous_system,
ACH-001609,NP 3,NP3,,,central_nervous_system,
ACH-001610,NP 5,NP5,,,central_nervous_system,
ACH-001613,OCI-AML4,OCIAML4,,,haematopoietic_and_lymphoid_tissue,
ACH-001616,OCI-LY18,OCILY18,,,pleural_effusion,
ACH-001618,OCI-M2,OCIM2,,,haematopoietic_and_lymphoid_tissue,
ACH-001619,OCUG-1,OCUG1,,,ascites,
ACH-001622,Onda 7,ONDA7,,,central_nervous_system,
ACH-001623,Onda 8,ONDA8,,,central_nervous_system,
ACH-001624,Onda 9,ONDA9,,,central_nervous_system,
ACH-001627,P4E6,P4E6,,,prostate,
ACH-001634,PGA-1,PGA1,,,haematopoietic_and_lymphoid_tissue,
ACH-001647,SHI-1,SHI1,,,bone_marrow,
ACH-001648,Shmac 4,SHMAC4,,,prostate,
ACH-001649,Shmac 5,SHMAC5,,,prostate,
ACH-001651,SKG-I,SKGI,,,endometrium,
ACH-001652,SKG-II,SKGII,,,endometrium,
ACH-001656,SKNO-1,SKNO1,,,bone_marrow,
ACH-001664,SNU-638,SNU638,,,ascites,
ACH-001668,SUSA,SUSA,,,Embryonal,
ACH-001675,TR146,TR146,,,lymph_node,
ACH-001685,U-HO1,UHO1,,,pleural_effusion,
ACH-001687,UM-RC-3,UMRC3,,,kidney,
ACH-001688,UM-RC-7,UMRC7,,,kidney,
ACH-001690,UPCI-SCC-026,UPCISCC026,,,upper_aerodigestive_tract,
ACH-001692,UPCI-SCC-040,UPCISCC040,,,upper_aerodigestive_tract,
ACH-001694,UPCI-SCC-074,UPCISCC074,,,upper_aerodigestive_tract,
ACH-001696,UPCI-SCC-111,UPCISCC111,,,upper_aerodigestive_tract,
ACH-001698,UPCI-SCC-116,UPCISCC116,,,upper_aerodigestive_tract,
ACH-001699,UPCI-SCC-131,UPCISCC131,,,upper_aerodigestive_tract,
ACH-001701,UPCI-SCC-200,UPCISCC200,,,upper_aerodigestive_tract,
ACH-001707,WA-OSEL,WAOSEL,,,haematopoietic_and_lymphoid_tissue,
ACH-001712,Hs 860.T,HS860T,"HS-860, HS860",,bone,
ACH-001719,OCI-C4P,OCIC4P,,,ovary,
ACH-001743,RC2,RC2,,,soft_tissue,
ACH-001767,CCLF_PEDS_0018_T,CCLFPEDS0018T,,,fibroblast,
ACH-001786,SNU-1544,SNU1544,,,large_intestine,
ACH-001791,LPS6,LPS6,,,soft_tissue,
ACH-001793,LPS27,LPS27,,,soft_tissue,
ACH-001794,93T449,93T449,,,soft_tissue,
ACH-001795,94T778,94T778,,,soft_tissue,
ACH-001796,95T1000,95T1000,,,soft_tissue,
ACH-001799,LPS141,LPS141,,,soft_tissue,
ACH-001802,LPS853,LPS853,,,soft_tissue,
ACH-001804,LPS510,LPS510,,,soft_tissue,
ACH-001807,LPS067,LPS067,,,soft_tissue,
ACH-001814,OS252,OS252,,,bone,
ACH-001818,C396,C396,,,bone,
ACH-001825,SW527,SW527,,,lymph_node,
ACH-001827,184B5,184B5,HMEC-184B5,,breast,
ACH-001834,ICC10,ICC10,,,biliary_tract,
ACH-001835,ICC10-6,ICC106,,,biliary_tract,
ACH-001836,ICC10-8,ICC108,,,biliary_tract,
ACH-001838,ICC12,ICC12,,,biliary_tract,
ACH-001839,ICC13-7,ICC137,ICC13,,biliary_tract,
ACH-001841,ICC15,ICC15,,,biliary_tract,
ACH-001842,ICC2,ICC2,,,biliary_tract,
ACH-001843,ICC3,ICC3,,,biliary_tract,
ACH-001844,ICC4,ICC4,,,biliary_tract,
ACH-001845,ICC5,ICC5,,,biliary_tract,
ACH-001846,ICC6,ICC6,,,biliary_tract,
ACH-001848,ICC8,ICC8,,,biliary_tract,
ACH-001849,ICC9,ICC9,,,biliary_tract,
ACH-001850,G415,G415,,,ascites,
ACH-001852,HKGZ-CC,HKGZCC,,,biliary_tract,
ACH-001853,KMCH-1,KMCH1,,,biliary_tract,
ACH-001856,RBE,RBE,,,biliary_tract,
ACH-001857,SG231,SG231,,,biliary_tract,
ACH-001862,TGBC52TKB,TGBC52TKB,TGBC52TKB,,lymph_node,
ACH-001863,TKKK,TKKK,TKKK,,biliary_tract,
ACH-001864,YSCCC,YSCCC,YSCCC,,ascites,
ACH-001955,Jhc-7,JHC7,,,bone,
ACH-001959,CC-LP-1,CCLP1,,,biliary_tract,
ACH-001960,CC-SW-1,CCSW1,,,biliary_tract,
ACH-001961,GB2,GB2,EHGB2,,biliary_tract,
ACH-001970,MM253,MM253,"MM 253, MM-253",,lymph_node,
ACH-001973,MM485,MM485,"MM 485, MM-485",,lymph_node,
ACH-001977,NO36,NO36,"NO 36, NO-36",,pleural_effusion,
ACH-001982,NZM3,NZM3,"NZM 3, NZM-3",,lymph_node,
ACH-001991,NZOV9,NZOV9,"NZOV 9, NZOV-9",,ovary,
ACH-001992,ONE58,ONE58,"ONE 58, ONE-58",,pleural_effusion,
ACH-001993,NALM-16,NALM16,"NALM-16, Nalm-16",,haematopoietic_and_lymphoid_tissue,
ACH-001997,ECC2,ECC2,,,biliary_tract,
ACH-001999,950-5-BIK,9505BIK,,,pancreas,
ACH-002001,A375 SKIN CJ1,A375SKINCJ1,A375 RMR,,skin,
ACH-002002,A375 SKIN CJ2,A375SKINCJ2,A375 ER-2,,skin,
ACH-002003,A375 SKIN CJ3,A375SKINCJ3,A375 RMR SCH 0.25,,skin,
ACH-002004,UACC62 SKIN CJ1,UACC62SKINCJ1,UACC62 RMR,,skin,
ACH-002011,MP46,MP46,,,uvea,
ACH-002014,Mel270,MEL270,,,uvea,
ACH-002015,Mel285,MEL285,,,uvea,
ACH-002016,Mel290,MEL290,,,uvea,
ACH-002017,Omm1,OMM1,,,skin,
ACH-002018,Omm2.5,OMM25,,,liver,
ACH-002019,HOKUG,HOKUG,,,cervix,
ACH-002021,T3M-3,T3M3,,,Placenta,
ACH-002023,TGBC18TKB,TGBC18TKB,,,large_intestine,
ACH-002025,TT1TKB,TT1TKB,,,large_intestine,
ACH-002026,HHUA,HHUA,,,endometrium,
ACH-002027,HOUA-I,HOUAI,,,endometrium,
ACH-002038,HSKTC,HSKTC,,,ovary,
ACH-002039,PK-8,PK8,,,liver,
ACH-002041,HOTHC,HOTHC,,,thyroid,
ACH-002042,T3M-5,T3M5,,,thyroid,
ACH-002044,HSQ-89,HSQ89,,,upper_aerodigestive_tract,
ACH-002046,HTMMT,HTMMT,,,endometrium,
ACH-002048,RMS-YM,RMSYM,,,soft_tissue,
ACH-002055,TL-1,TL1,,,haematopoietic_and_lymphoid_tissue,
ACH-002061,P2UR/K-562,P2URK562,,,pleural_effusion,
ACH-002065,HS-PSS,HSPSS,,,prostate,
ACH-002066,HS-Sch-2,HSSCH2,,,central_nervous_system,
ACH-002069,HS-Os-1,HSOS1,,,bone,
ACH-002080,TN-2,TN2,,,autonomic_ganglia,
ACH-002085,HS-SY-II,HSSYII,,,lung,
ACH-002287,NCI-H630,NCIH630,,908482,large_intestine,
ACH-002319,184A1,184A1,,,breast,
ACH-002320,600MPE,600MPE,,,pleural_effusion,
ACH-002321,HBL100,HBL100,,,,
ACH-002322,HCC2185,HCC2185,,,pleural_effusion,
ACH-002323,HCC2688,HCC2688,,,breast,
ACH-002324,HCC3153,HCC3153,,,breast,
ACH-002325,LY2,LY2,,,breast,
ACH-002326,MACLS2,MACLS2,,,pleural_effusion,
ACH-002327,MCF12A,MCF12A,,,breast,
ACH-002328,MX1,MX1,,,breast,
ACH-002329,SKBR5,SKBR5,,,breast,
ACH-002330,SKBR7,SKBR7,,,breast,
ACH-002331,ZR75B,ZR75B,,,ascites,
ACH-002332,GISTT1,GISTT1,,,pleural_effusion,
ACH-002333,HCC827GR,HCC827GR,,,lung,
ACH-002334,SS1A,SS1A,,,soft_tissue,
ACH-002342,BB30PBL,BB30PBL,,,matched_normal_tissue,
ACH-002343,BB49EBV,BB49EBV,,,matched_normal_tissue,
ACH-002344,BB65EBV,BB65EBV,,,matched_normal_tissue,
ACH-002346,CP50EBV,CP50EBV,,,matched_normal_tissue,
ACH-002347,CP66EBV,CP66EBV,,,matched_normal_tissue,
ACH-002348,DIPG007,DIPG007,,,matched_normal_tissue,
ACH-002349,GBM001,GBM001,,,matched_normal_tissue,
ACH-002350,HA7EBV,HA7EBV,,,matched_normal_tissue,
ACH-002351,L542,L542,,,matched_normal_tissue,
ACH-002352,LB1047EBV,LB1047EBV,,,matched_normal_tissue,
ACH-002353,LB2241EBV,LB2241EBV,,,matched_normal_tissue,
ACH-002354,LB2518EBV,LB2518EBV,,,matched_normal_tissue,
ACH-002355,LB373EBV,LB373EBV,,,matched_normal_tissue,
ACH-002356,LB647PBL,LB647PBL,,,matched_normal_tissue,
ACH-002357,LB771PBL,LB771PBL,,,matched_normal_tissue,
ACH-002358,LB831EBV,LB831EBV,,,matched_normal_tissue,
ACH-002360,MZ1B,MZ1B,,,matched_normal_tissue,
ACH-002361,MZ7B,MZ7B,,,matched_normal_tissue,
ACH-002362,NCIBL128,NCIBL128,,,matched_normal_tissue,
ACH-002364,NCIBL1437,NCIBL1437,,,matched_normal_tissue,
ACH-002376,LS1034-PBL,LS1034PBL,,,matched_normal_tissue,
ACH-002379,J82EBV,J82EBV,,,matched_normal_tissue,
ACH-002392,SC-1,SC1,Sci-1,,ascites,SIDM00030
ACH-002399,21NT,21NT,,,breast,
ACH-002446,CCLF_UPGI_0005_T,CCLFUPGI0005T,,,pleura,
ACH-002458,HT144 SKIN FV1,HT144SKINFV1,HT144_Dab,,skin,
ACH-002459,HT144 SKIN FV3,HT144SKINFV3,HT144_Dab_Tram,,skin,
ACH-002460,HT144 SKIN FV2,HT144SKINFV2,HTT144_Dab_Rox,,skin,
ACH-002461,RVH421 SKIN FV1,RVH421SKINFV1,RVH421_Dab,,central_nervous_system,
ACH-002462,RPE1-ss48,RPE1SS48,,,eye,
ACH-002463,RPE1-ss77,RPE1SS77,,,eye,
ACH-002464,RPE1-ss6,RPE1SS6,,,eye,
ACH-002465,RPE1-ss119,RPE1SS119,,,eye,
ACH-002466,RPE1-ss111,RPE1SS111,,,eye,
ACH-002467,RPE1-ss51,RPE1SS51,,,eye,
ACH-002471,PSS008,PSS008,"OS052, OS052CL",,bone,
ACH-002475,HAP1,HAP1,,,bone_marrow,
ACH-002508,WM3211,WM3211,,,lymph_node,
ACH-002509,WM4235,WM4235,,,skin,
ACH-002510,M040416,M040416,,,skin,
ACH-002511,M140325,M140325,,,skin,
ACH-002512,MM160113,MM160113,M160113,,skin,
ACH-002647,CCC-5,CCC5,,,pleural_effusion,
ACH-002659,JVE-127,JVE127,,,Colon,
ACH-002664,JVE-253,JVE253,,,liver,
ACH-002669,KP-363T,KP363T,,,Colon,
ACH-002672,MAPAC-HS-77,MAPACHS77,,,pancreas,
ACH-002680,170-MG-BA,170MGBA,,,central_nervous_system,
ACH-002687,WM3772F,WM3772F,,,lung,
ACH-002693,S462,S462,,,,
ACH-002710,MPNST-724,MPNST724,MPNST-724,,soft_tissue,
ACH-002785,NCC-LMS1-C1,NCCLMS1C1,,,bone,
ACH-002800,NCC-MPNST2-C1,NCCMPNST2C1,,,,
ACH-002834,PSS131R,PSS131R,,,bone,
ACH-002847,YUHOIN 06-50,YUHOIN0650,,,sinonasal,
ACH-002874,A375_RPMI,A375RPMI,,,skin,
ACH-002875,RVH421_RPMI,RVH421RPMI,,,central_nervous_system,
ACH-002926,UPMD1,UPMD1,,,eye,
ACH-000001,NIH:OVCAR-3,NIHOVCAR3,OVCAR3,905933,ascites,SIDM00105
ACH-000002,HL-60,HL60,,905938,haematopoietic_and_lymphoid_tissue,SIDM00829
ACH-000003,CACO2,CACO2,"CACO2, CaCo-2",,Colon,SIDM00891
ACH-000004,HEL,HEL,,907053,haematopoietic_and_lymphoid_tissue,SIDM00594
ACH-000005,HEL 92.1.7,HEL9217,,,bone_marrow,SIDM00593
ACH-000006,MONO-MAC-6,MONOMAC6,,908148,haematopoietic_and_lymphoid_tissue,SIDM01023
ACH-000007,LS513,LS513,,907795,large_intestine,SIDM00677
ACH-000008,A101D,A101D,,910921,skin,SIDM00801
ACH-000009,C2BBe1,C2BBE1,,910700,Colon,SIDM01233
ACH-000011,253J,253J,,,lymph_node,
ACH-000012,HCC827,HCC827,,1240146,lung,SIDM01067
ACH-000013,ONCO-DG-1,ONCODG1,,,ascites,SIDM00093
ACH-000014,Hs 294T,HS294T,"A101D, Hs 294.T",,lymph_node,SIDM00800
ACH-000015,NCI-H1581,NCIH1581,NCI-H2077,908471,lung,SIDM00748
ACH-000017,SK-BR-3,SKBR3,,,pleural_effusion,SIDM00897
ACH-000018,T24,T24,,724812,urinary_tract,SIDM01184
ACH-000019,MCF7,MCF7,,905946,pleural_effusion,SIDM00148
ACH-000020,MHH-CALL-2,MHHCALL2,,908132,haematopoietic_and_lymphoid_tissue,SIDM00331
ACH-000021,NCI-H1693,NCIH1693,,687802,lymph_node,SIDM00742
ACH-000022,PA-TU-8988S,PATU8988S,,,liver,SIDM00452
ACH-000023,PA-TU-8988T,PATU8988T,,1240201,liver,SIDM00453
ACH-000024,OPM-2,OPM2,,909249,haematopoietic_and_lymphoid_tissue,SIDM00457
ACH-000025,CH-157MN,CH157MN,,,central_nervous_system,
ACH-000026,253J-BV,253JBV,,,lymph_node,
ACH-000027,GOS-3,GOS3,,,central_nervous_system,
ACH-000028,KPL-1,KPL1,,,pleural_effusion,SIDM00147
ACH-000029,HCC-827-GR5,HCC827GR5,HCC827 GR5,,lung,
ACH-000030,PC-14,PC14,,753608,lung,SIDM00237
ACH-000031,Panc 02.13,PANC0213,,,pancreas,
ACH-000034,,PLB985,"PLB985, PLB-985",,haematopoietic_and_lymphoid_tissue,SIDM00811
ACH-000035,NCI-H1650,NCIH1650,,687800,pleural_effusion,SIDM00745
ACH-000036,U343,U343,,,central_nervous_system,
ACH-000037,S-117,S117,,,soft_tissue,SIDM00035
ACH-000038,EHEB,EHEB,,906854,haematopoietic_and_lymphoid_tissue,SIDM01049
ACH-000039,SK-N-MC,SKNMC,,,bone,SIDM00634
ACH-000040,U-118 MG,U118MG,,687588,central_nervous_system,SIDM01193
ACH-000041,RD-ES,RDES,,,bone,
ACH-000042,Panc 02.03,PANC0203,,1298475,pancreas,SIDM01139
ACH-000044,MDA-MB-134-VI,MDAMB134VI,,,pleural_effusion,SIDM00005
ACH-000045,MV4;11,MV411,MV-4-11,908156,haematopoietic_and_lymphoid_tissue,SIDM00657
ACH-000046,ACHN,ACHN,,905950,pleural_effusion,SIDM00123
ACH-000047,GCIY,GCIY,,906869,ascites,SIDM00274
ACH-000048,TOV-112D,TOV112D,,1299070,ovary,SIDM01170
ACH-000050,NCI-H929,NCIH929,,724825,pleural_effusion,SIDM01148
ACH-000052,A-673,A673,,684052,soft_tissue,SIDM00848
ACH-000053,KARPAS-299,KARPAS299,,907273,haematopoietic_and_lymphoid_tissue,SIDM01010
ACH-000054,HT-1080,HT1080,,907064,soft_tissue,SIDM00828
ACH-000055,D283 Med,D283MED,D283,906834,abdomen,SIDM00888
